Project Manager	Michael Anderson	Oversees project execution and manages timelines.
Vendor Management Specialist	Sarah Johnson	Provides expertise in vendor management processes and practices.
Training Coordinator	Daniel Lee	Develops and conducts vendor management training programs.
Process Analyst	Emily Brown	Assesses current vendor management processes and recommends improvements.
Change Management Lead	Olivia Green	Manages communication and engagement during the transformation.
Project Analyst	Lucas White	Assists with project documentation and reporting.
Role	Name	Responsibilities
Project Sponsor	David Smith	Provides project funding and strategic direction.
Operations Manager	Jessica Thompson	Coordinates with FWC on operational requirements.
Supplier Relationship Manager	Kevin Davis	Ensures alignment between vendor and PMS objectives.
IT Manager	Rachel Kim	Supports any technology-related changes needed for vendor management.
Risk	Likelihood	Impact	Mitigation Strategy
Resistance to Change from Employees	High	Medium	Develop engaging training materials and involve employees in the process.
Incomplete Implementation of New Processes	Medium	High	Conduct regular check-ins and provide support throughout the transformation.
Insufficient Leadership Support	Medium	High	Ensure project sponsor engagement and communication of project goals.
Inadequate Vendor Participation	Medium	Medium	Build strong relationships and involve vendors early in the process.
Item	Estimated Cost (USD)
Vendor Assessment Framework Development	$35,000
Training Program Development	$20,000
Process Redesign Consulting	$40,000
Collaboration Tools Implementation	$25,000
Project Management and Administration	$50,000
Total Estimated Budget	$170,000
--------------------------------------------------------------------------------
Extracting data from CSV file: AI_Tools_Connectivity_Manufacturing_Timeline.csv

Task Name, Start Date, End Date, Duration, Responsible Person, Status
Prototype Testing, 2024-02-19 00:00:00, 2024-02-29 00:00:00, 10, Team Member 5, Not Started
Manufacturing System Synchronization, 2024-02-28 00:00:00, 2024-03-07 00:00:00, 8, Team Member 8, Not Started
AI Model Development, 2024-03-16 00:00:00, 2024-03-21 00:00:00, 5, Team Member 7, Completed
Edge Computing Optimization, 2024-01-11 00:00:00, 2024-01-26 00:00:00, 15, Team Member 5, Completed
--------------------------------------------------------------------------------
Extracting data from CSV file: FlexStaff_Project_Timeline.csv

Task Name, Start Date, End Date, Duration, Responsible Person, Status
Task 1, 2024-08-28, 2024-11-22, 86, Alex Turner, In Progress
Task 2, 2024-08-25, 2024-10-24, 60, Liam O'Connor, In Progress
Task 3, 2024-01-30, 2024-11-22, 297, Nina Gomez, Delayed
Task 4, 2024-03-24, 2024-06-09, 77, Nina Gomez, On Hold
Task 5, 2024-04-27, 2024-09-21, 147, Liam O'Connor, Not Started
Task 6, 2024-11-12, 2024-12-11, 29, Liam O'Connor, On Hold
Task 7, 2024-05-20, 2024-07-28, 69, Sam Patel, Delayed
Task 8, 2024-03-16, 2024-11-20, 249, Alex Turner, On Hold
Task 9, 2024-04-09, 2024-09-22, 166, Alex Turner, Not Started
Task 10, 2024-07-29, 2024-09-01, 34, Liam O'Connor, Delayed
Task 11, 2024-01-09, 2024-11-14, 310, Alex Turner, On Hold
Task 12, 2024-10-30, 2024-11-13, 14, Liam O'Connor, Not Started
Task 13, 2024-11-19, 2024-12-05, 16, Sophia Lee, Completed
Task 14, 2024-12-17, 2024-12-17, 0, Nina Gomez, Not Started
Task 15, 2024-03-03, 2024-06-02, 91, Alex Turner, Delayed
Task 16, 2024-07-30, 2024-12-18, 141, Liam O'Connor, Completed
Task 17, 2024-12-05, 2024-12-28, 23, Nina Gomez, Delayed
Task 18, 2024-01-19, 2024-10-10, 265, Sam Patel, Completed
Task 19, 2024-10-07, 2024-12-27, 81, Alex Turner, In Progress
Task 20, 2024-10-08, 2024-11-16, 39, Alex Turner, On Hold
Task 21, 2024-08-19, 2024-11-09, 82, Nina Gomez, On Hold
Task 22, 2024-11-03, 2024-11-19, 16, Alex Turner, On Hold
Task 23, 2024-06-14, 2024-12-24, 193, Alex Turner, On Hold
Task 24, 2024-02-16, 2024-04-12, 56, Nina Gomez, On Hold
Task 25, 2024-06-01, 2024-10-17, 138, Nina Gomez, Not Started
Task 26, 2024-10-03, 2024-10-04, 1, Sam Patel, On Hold
Task 27, 2024-03-22, 2024-11-27, 250, Liam O'Connor, Delayed
Task 28, 2024-06-18, 2024-11-20, 155, Nina Gomez, On Hold
Task 29, 2024-10-25, 2024-11-22, 28, Sam Patel, Completed
Task 30, 2024-08-28, 2024-12-25, 119, Nina Gomez, Delayed
Task 31, 2024-03-12, 2024-09-11, 183, Sam Patel, In Progress
Task 32, 2024-01-18, 2024-09-20, 246, Sophia Lee, On Hold
Task 33, 2024-02-02, 2024-07-02, 151, Alex Turner, Delayed
Task 34, 2024-10-21, 2024-12-18, 58, Sophia Lee, In Progress
Task 35, 2024-11-13, 2024-12-11, 28, Liam O'Connor, Delayed
Task 36, 2024-12-25, 2024-12-26, 1, Alex Turner, On Hold
Task 37, 2024-10-12, 2024-12-14, 63, Nina Gomez, Delayed
Task 38, 2024-04-23, 2024-04-29, 6, Sophia Lee, Delayed
Task 39, 2024-04-23, 2024-07-24, 92, Sam Patel, Not Started
Task 40, 2024-03-31, 2024-10-19, 202, Sophia Lee, On Hold
--------------------------------------------------------------------------------
Extracting data from CSV file: Project Timeline for CloudShift Seamless Cloud Transformation for Telecom NextGen Inc.csv

Task Name, Start Date, End Date, Duration (days), Responsible Person, Status
Project Kickoff, 1/2/2024, 1/5/2024, 3, Michael Reed, Completed
Requirements Gathering, 1/6/2024, 1/15/2024, 9, Sarah Lin, Completed
Stakeholder Alignment Meetings, 1/16/2024, 1/18/2024, 2, David Chen, Completed
Technical Architecture Design, 1/19/2024, 1/29/2024, 10, Emily Jackson, Completed
Cloud Vendor Evaluation and Selection, 1/30/2024, 2/5/2024, 6, Mark Wilson, Completed
Initial Cloud Environment Setup, 2/6/2024, 2/15/2024, 9, Nathan Hall, Completed
Security Assessment and Planning, 2/16/2024, 2/23/2024, 7, Olivia Martin, Completed
Application Migration Strategy, 2/24/2024, 3/2/2024, 6, Megan Evans, Completed
Legacy System Integration, 3/3/2024, 3/12/2024, 9, Carlos Rodriguez, In Progress
Network Configuration, 3/13/2024, 3/20/2024, 7, Sophia Lee, In Progress
Database Migration, 3/21/2024, 3/31/2024, 10, David Harris, Not Started
Performance Testing, 4/1/2024, 4/10/2024, 9, Daniel Scott, Not Started
Cloud Environment Scaling, 4/11/2024, 4/20/2024, 9, Rebecca Adams, Not Started
Data Backup and Recovery Plan, 4/21/2024, 4/28/2024, 7, Joseph Perez, Not Started
User Access Management Implementation, 4/29/2024, 5/5/2024, 6, Emily Johnson, Not Started
Cloud Cost Optimization, 5/6/2024, 5/15/2024, 9, Michael Anderson, Not Started
Training for Cloud Operations Team, 5/16/2024, 5/23/2024, 7, Jessica Brown, Not Started
Monitoring System Setup, 5/24/2024, 5/30/2024, 6, Eric Thomas, Not Started
Compliance Audits, 6/1/2024, 6/7/2024, 6, Christine White, Not Started
Final Cloud Deployment, 6/8/2024, 6/15/2024, 7, Brian Davis, Not Started
Post-Deployment Monitoring, 6/16/2024, 6/23/2024, 7, Lisa Nguyen, Not Started
Application Optimization, 6/24/2024, 7/2/2024, 8, Samuel Lopez, Not Started
Disaster Recovery Testing, 7/3/2024, 7/10/2024, 7, Anthony King, Not Started
User Training Sessions, 7/11/2024, 7/20/2024, 9, Angela Martinez, Not Started
Cloud Environment Handover, 7/21/2024, 7/25/2024, 4, Matthew Cooper, Not Started
Cloud Security Monitoring Setup, 7/26/2024, 8/1/2024, 6, Natalie Ross, Not Started
Performance Monitoring System Update, 8/2/2024, 8/10/2024, 8, Kevin Turner, Not Started
Final Security Review, 8/11/2024, 8/15/2024, 4, Andrew Moore, Not Started
Final Handover and Project Closure, 8/16/2024, 8/20/2024, 4, Emily Johnson, Not Started
Post-Project Evaluation, 8/21/2024, 8/25/2024, 4, Sarah Lin, Not Started
--------------------------------------------------------------------------------
Extracting data from CSV file: TalentFlex_Project_Timeline.csv

Task Name, Start Date, End Date, Duration, Responsible Person, Status
Task 1: Development, 2024-01-04, 2024-09-04, 244, Ethan Clark, Not Started
Task 2: Deployment, 2024-10-25, 2024-12-10, 46, Bob Smith, In Progress
Task 3: Monitoring, 2024-06-30, 2024-07-29, 29, Charlie Brown, Not Started
Task 4: Requirement Analysis, 2024-06-17, 2024-07-31, 44, Alice Johnson, In Progress
Task 5: Testing, 2024-01-01, 2024-12-11, 345, Bob Smith, In Progress
Task 6: Requirement Analysis, 2024-07-16, 2024-08-25, 40, Charlie Brown, In Progress
Task 7: Development, 2024-03-15, 2024-12-26, 286, Alice Johnson, Not Started
Task 8: Testing, 2024-08-27, 2024-09-08, 12, Alice Johnson, Delayed
Task 9: Testing, 2024-08-22, 2024-12-06, 106, Dana Lee, Delayed
Task 10: Testing, 2024-05-16, 2024-12-04, 202, Dana Lee, Delayed
Task 11: Requirement Analysis, 2024-11-23, 2024-12-14, 21, Alice Johnson, Completed
Task 12: Monitoring, 2024-08-23, 2024-09-30, 38, Alice Johnson, Completed
Task 13: Monitoring, 2024-03-26, 2024-06-06, 72, Ethan Clark, Completed
Task 14: Requirement Analysis, 2024-02-09, 2024-04-08, 59, Bob Smith, Completed
Task 15: Requirement Analysis, 2024-03-15, 2024-05-08, 54, Dana Lee, Delayed
Task 16: Requirement Analysis, 2024-02-02, 2024-03-22, 49, Charlie Brown, Completed
Task 17: Deployment, 2024-01-15, 2024-06-11, 148, Bob Smith, Not Started
Task 18: Requirement Analysis, 2024-10-31, 2024-12-22, 52, Charlie Brown, Delayed
Task 19: Development, 2024-04-04, 2024-10-05, 184, Bob Smith, Completed
Task 20: Deployment, 2024-07-01, 2024-10-11, 102, Alice Johnson, Not Started
Task 21: Deployment, 2024-03-17, 2024-08-20, 156, Charlie Brown, Delayed
Task 22: Requirement Analysis, 2024-09-16, 2024-11-23, 68, Charlie Brown, In Progress
Task 23: Requirement Analysis, 2024-08-27, 2024-09-01, 5, Charlie Brown, In Progress
Task 24: Development, 2024-09-02, 2024-10-23, 51, Bob Smith, Not Started
Task 25: Requirement Analysis, 2024-04-03, 2024-06-07, 65, Dana Lee, Delayed
Task 26: Testing, 2024-01-29, 2024-06-24, 147, Bob Smith, In Progress
Task 27: Requirement Analysis, 2024-05-07, 2024-07-23, 77, Alice Johnson, Completed
Task 28: Deployment, 2024-03-16, 2024-11-09, 238, Dana Lee, Delayed
Task 29: Deployment, 2024-05-17, 2024-05-17, 0, Charlie Brown, Completed
Task 30: Testing, 2024-10-21, 2024-12-02, 42, Charlie Brown, In Progress
Task 31: Monitoring, 2024-03-27, 2024-12-07, 255, Alice Johnson, Not Started
Task 32: Monitoring, 2024-06-04, 2024-09-04, 92, Alice Johnson, Delayed
Task 33: Development, 2024-03-25, 2024-06-30, 97, Alice Johnson, In Progress
Task 34: Development, 2024-06-01, 2024-11-24, 176, Dana Lee, Completed
Task 35: Requirement Analysis, 2024-04-21, 2024-04-25, 4, Dana Lee, Completed
Task 36: Development, 2024-03-25, 2024-12-01, 251, Dana Lee, In Progress
Task 37: Testing, 2024-03-08, 2024-07-09, 123, Dana Lee, In Progress
Task 38: Testing, 2024-05-30, 2024-11-17, 171, Alice Johnson, Not Started
Task 39: Deployment, 2024-07-22, 2024-08-20, 29, Alice Johnson, Completed
Task 40: Development, 2024-07-15, 2024-08-23, 39, Dana Lee, Delayed
--------------------------------------------------------------------------------
Extracting data from CSV file: VendorRevive_Project_Timeline.csv

Task Name, Start Date, End Date, Duration, Responsible Person, Status
Project Kickoff, 2024-02-14, 2024-03-04, 19, Team Member 1, In Progress
Vendor Training Program, 2024-04-24, 2024-05-20, 26, Team Member 5, Delayed
Vendor Portal Design, 2024-02-17, 2024-03-14, 26, Team Member 6, Delayed
Integration Testing, 2024-04-20, 2024-04-30, 10, Team Member 4, Delayed
Requirements Gathering, 2024-05-13, 2024-05-31, 18, Team Member 2, Completed
Compliance and Legal Review, 2024-03-23, 2024-04-19, 27, Team Member 8, In Progress
Performance Monitoring Setup, 2024-05-12, 2024-05-19, 7, Team Member 2, Delayed
Project Closure and Handover, 2024-05-13, 2024-05-23, 10, Team Member 5, Not Started
Performance Monitoring Setup, 2024-03-31, 2024-04-12, 12, Team Member 3, Not Started
System Development Phase 1, 2024-05-03, 2024-06-01, 29, Team Member 5, In Progress
Project Kickoff, 2024-03-27, 2024-04-06, 10, Team Member 10, Completed
Performance Monitoring Setup, 2024-02-22, 2024-03-19, 26, Team Member 3, Delayed
Project Closure and Handover, 2024-04-09, 2024-04-15, 6, Team Member 1, Not Started
System Architecture Design, 2024-03-15, 2024-03-21, 6, Team Member 6, Not Started
Performance Monitoring Setup, 2024-01-10, 2024-02-07, 28, Team Member 1, Not Started
Vendor Portal Design, 2024-05-06, 2024-05-20, 14, Team Member 2, Delayed
Post-Deployment Support, 2024-03-26, 2024-04-12, 17, Team Member 7, Not Started
Vendor Engagement Strategy Development, 2024-04-25, 2024-05-23, 28, Team Member 4, In Progress
Project Kickoff, 2024-06-26, 2024-07-13, 17, Team Member 2, In Progress
System Development Phase 1, 2024-06-24, 2024-07-07, 13, Team Member 8, Delayed
Requirements Gathering, 2024-02-03, 2024-02-26, 23, Team Member 1, In Progress
Requirements Gathering, 2024-02-29, 2024-03-25, 25, Team Member 9, Completed
System Development Phase 1, 2024-06-09, 2024-07-08, 29, Team Member 5, Delayed
Performance Monitoring Setup, 2024-05-30, 2024-06-29, 30, Team Member 1, Not Started
Compliance and Legal Review, 2024-03-28, 2024-04-16, 19, Team Member 9, Not Started
Requirements Gathering, 2024-02-20, 2024-03-18, 27, Team Member 9, In Progress
Vendor Assessment, 2024-07-04, 2024-07-10, 6, Team Member 5, Not Started
System Architecture Design, 2024-05-07, 2024-05-18, 11, Team Member 6, In Progress
Post-Deployment Support, 2024-03-02, 2024-03-10, 8, Team Member 7, Delayed
Vendor Training Program, 2024-02-03, 2024-02-29, 26, Team Member 4, Delayed
--------------------------------------------------------------------------------
Extracting data from Excel file: Cloud Initiative Projects.xlsx

Sheet: Sheet1

Task Name	Start Date	End Date	Duration	Responsible Person	Status
Project Kickoff	2024-11-01 00:00:00	2024-11-01 00:00:00	1 day	John Smith	Completed
Cloud Infrastructure Assessment	2024-11-02 00:00:00	2024-11-10 00:00:00	8 days	Sarah Brown	In Progress
Cloud Vendor Selection	2024-11-11 00:00:00	2024-11-20 00:00:00	9 days	Alice Johnson	Planned
Design Cloud Architecture	2024-11-21 00:00:00	2024-12-05 00:00:00	15 days	Kevin Lee	Planned
Set Up Development Environment	2024-12-06 00:00:00	2024-12-10 00:00:00	4 days	Lisa White	Planned
Data Migration Strategy	2024-12-11 00:00:00	2024-12-20 00:00:00	9 days	David Green	Planned
Implement Security Protocols	2024-12-21 00:00:00	2025-01-10 00:00:00	20 days	Maria Garcia	Planned
User Acceptance Testing (UAT)	2025-01-11 00:00:00	2025-01-20 00:00:00	9 days	Tim Brown	Planned
Deployment to Production	2025-01-21 00:00:00	2025-01-25 00:00:00	4 days	Sarah Brown	Planned
Post-Deployment Review	2025-01-26 00:00:00	2025-01-30 00:00:00	4 days	John Smith	Planned
Cloud Performance Monitoring Setup	2025-02-01 00:00:00	2025-02-10 00:00:00	9 days	Alice Johnson	Planned
Continuous Integration Implementation	2025-02-11 00:00:00	2025-02-20 00:00:00	9 days	Kevin Lee	Planned
Cloud Cost Optimization Analysis	2025-02-21 00:00:00	2025-02-28 00:00:00	7 days	Maria Garcia	Planned
Staff Training on Cloud Technologies	2025-03-01 00:00:00	2025-03-15 00:00:00	14 days	Tim Brown	Planned
Develop Disaster Recovery Plan	2025-03-16 00:00:00	2025-03-25 00:00:00	9 days	David Green	Planned
Integrate Third-Party Services	2025-03-26 00:00:00	2025-04-05 00:00:00	10 days	Lisa White	Planned
Optimize Cloud Storage Solutions	2025-04-06 00:00:00	2025-04-15 00:00:00	9 days	Sarah Brown	Planned
Develop Monitoring Dashboard	2025-04-16 00:00:00	2025-04-25 00:00:00	9 days	Alice Johnson	Planned
Conduct Security Audits	2025-04-26 00:00:00	2025-05-05 00:00:00	9 days	Maria Garcia	Planned
User Feedback Collection	2025-05-06 00:00:00	2025-05-15 00:00:00	9 days	Tim Brown	Planned
Final Project Report Preparation	2025-05-16 00:00:00	2025-05-20 00:00:00	4 days	John Smith	Planned
Project Closure	2025-05-21 00:00:00	2025-05-21 00:00:00	1 day	Kevin Lee	Planned
Cloud Migration Evaluation	2025-05-22 00:00:00	2025-05-31 00:00:00	9 days	David Green	Planned
Continuous Improvement Initiatives	2025-06-01 00:00:00	2025-06-10 00:00:00	9 days	Lisa White	Planned
Review Compliance with Regulations	2025-06-11 00:00:00	2025-06-20 00:00:00	9 days	Sarah Brown	Planned
Implement Feedback for Improvements	2025-06-21 00:00:00	2025-06-30 00:00:00	9 days	Alice Johnson	Planned
Transition to New Cloud Platform	2025-07-01 00:00:00	2025-07-15 00:00:00	14 days	Maria Garcia	Planned
Cloud Service Optimization	2025-07-16 00:00:00	2025-07-25 00:00:00	9 days	Tim Brown	Planned
--------------------------------------------------------------------------------
Extracting data from Excel file: Contingent_Staffing_Project_Timeline.xlsx

Sheet: Project Timeline

Task Name	Start Date	End Date	Responsible Person	Status	Duration
Project Kickoff	2024-03-05 00:00:00	2024-03-05 00:00:00	Emily Johnson	Completed	
Agile Assessment Completion	2024-03-30 00:00:00	2024-03-30 00:00:00	Liam Brown	Completed	
Agile Training Completion	2024-04-30 00:00:00	2024-04-30 00:00:00	Mia Chen	Completed	
Cross-Functional Teams Established	2024-05-15 00:00:00	2024-05-15 00:00:00	Ava Martinez	Completed	
Process Redesign Completion	2024-06-30 00:00:00	2024-06-30 00:00:00	Noah Smith	Completed	
Feedback Mechanism Implementation	2024-08-15 00:00:00	2024-08-15 00:00:00	Sophia Williams	Completed	
Project Closure and Handover	2024-09-01 00:00:00	2024-09-30 00:00:00	Emily Johnson	Pending	29
Needs Assessment for Staffing	2024-02-15 00:00:00	2024-02-20 00:00:00	James Thompson	In Progress	5
Contractor Selection Process	2024-03-01 00:00:00	2024-03-15 00:00:00	Emma Garcia	In Progress	14
Training Development for Managers	2024-04-01 00:00:00	2024-04-15 00:00:00	Mia Chen	In Progress	14
Compliance Documentation	2024-04-15 00:00:00	2024-04-30 00:00:00	John Davis	Pending	15
Performance Metrics Setup	2024-05-01 00:00:00	2024-05-15 00:00:00	Noah Smith	Pending	14
Feedback Collection System Deployment	2024-06-01 00:00:00	2024-06-30 00:00:00	Ava Martinez	Pending	29
Supplier Assessment for Contingent Staffing	2024-06-15 00:00:00	2024-07-01 00:00:00	Liam Brown	Pending	16
Change Management Review	2024-07-01 00:00:00	2024-07-15 00:00:00	Sophia Williams	Pending	14
--------------------------------------------------------------------------------
Extracting data from Excel file: CyberSecure Comprehensive Cybersecurity Services for TrustedBank.xlsx

Sheet: Sheet1

Task Name	Start Date	End Date	Duration (Days)	Responsible Person	Status
Project Kickoff	2024-10-01 00:00:00	2024-10-01 00:00:00	1	Emily Johnson	Completed
Requirement Gathering	2024-10-02 00:00:00	2024-10-10 00:00:00	9	Liam Brown	Completed
Risk Assessment	2024-10-11 00:00:00	2024-10-20 00:00:00	10	Noah Smith	In Progress
Stakeholder Review	2024-10-21 00:00:00	2024-10-23 00:00:00	3	Ava Martinez	Planned
Infrastructure Assessment	2024-10-24 00:00:00	2024-10-30 00:00:00	7	Sophia Williams	Planned
Cybersecurity Framework Design	2024-11-01 00:00:00	2024-11-15 00:00:00	15	Liam Brown	Planned
Implementation Planning	2024-11-16 00:00:00	2024-11-20 00:00:00	5	Emily Johnson	Planned
Vendor Selection	2024-11-21 00:00:00	2024-11-28 00:00:00	8	Noah Smith	Planned
Solution Development	2024-11-29 00:00:00	2024-12-15 00:00:00	17	Ava Martinez	Planned
Testing and Quality Assurance	2024-12-16 00:00:00	2025-01-02 00:00:00	18	Sophia Williams	Planned
User Training	2025-01-03 00:00:00	2025-01-10 00:00:00	8	Liam Brown	Planned
Deployment Preparation	2025-01-11 00:00:00	2025-01-15 00:00:00	5	Emily Johnson	Planned
Final Deployment	2025-01-16 00:00:00	2025-01-20 00:00:00	5	Noah Smith	Planned
Post-Deployment Support	2025-01-21 00:00:00	2025-02-01 00:00:00	12	Ava Martinez	Planned
Feedback Collection	2025-02-02 00:00:00	2025-02-10 00:00:00	9	Sophia Williams	Planned
Performance Monitoring	2025-02-11 00:00:00	2025-02-28 00:00:00	18	Liam Brown	Planned
Incident Response Planning	2025-03-01 00:00:00	2025-03-10 00:00:00	10	Noah Smith	Planned
Policy and Procedure Documentation	2025-03-11 00:00:00	2025-03-20 00:00:00	10	Ava Martinez	Planned
Regulatory Compliance Assessment	2025-03-21 00:00:00	2025-03-30 00:00:00	10	Sophia Williams	Planned
Security Awareness Campaign	2025-03-31 00:00:00	2025-04-10 00:00:00	11	Emily Johnson	Planned
System Optimization	2025-04-11 00:00:00	2025-04-25 00:00:00	15	Liam Brown	Planned
Project Review	2025-04-26 00:00:00	2025-04-30 00:00:00	5	Noah Smith	Planned
Final Report Preparation	2025-05-01 00:00:00	2025-05-05 00:00:00	5	Ava Martinez	Planned
Handover to Operations	2025-05-06 00:00:00	2025-05-10 00:00:00	5	Sophia Williams	Planned
Lessons Learned Workshop	2025-05-11 00:00:00	2025-05-15 00:00:00	5	Emily Johnson	Planned
Project Closure	2025-05-16 00:00:00	2025-05-16 00:00:00	1	Liam Brown	Planned
Continuous Improvement Planning	2025-05-17 00:00:00	2025-05-31 00:00:00	15	Noah Smith	Planned
Audit and Evaluation	2025-06-01 00:00:00	2025-06-10 00:00:00	10	Ava Martinez	Planned
Final Stakeholder Review	2025-06-11 00:00:00	2025-06-15 00:00:00	5	Sophia Williams	Planned
--------------------------------------------------------------------------------
Extracting data from Excel file: FWC_InsurancePlus_Project_Timeline.xlsx

Sheet: Sheet1

Task Name	Start Date	End Date	Duration	Responsible Person	Status
Task 1	2024-01-01	2024-01-07	6	Charlie Brown	Completed
Task 2	2024-01-09	2024-01-13	4	Diana Prince	In Progress
Task 3	2024-01-14	2024-01-21	7	Alice Smith	In Progress
Task 4	2024-01-22	2024-01-31	9	Alice Smith	Not Started
Task 5	2024-02-01	2024-02-11	10	Charlie Brown	Not Started
Task 6	2024-02-13	2024-02-19	6	Edward Kent	In Progress
Task 7	2024-02-20	2024-02-27	7	Edward Kent	Completed
Task 8	2024-02-28	2024-03-05	6	Charlie Brown	Completed
Task 9	2024-03-07	2024-03-14	7	Alice Smith	Completed
Task 10	2024-03-15	2024-03-23	8	Edward Kent	Completed
Task 11	2024-03-26	2024-04-04	9	Diana Prince	Completed
Task 12	2024-04-07	2024-04-11	4	Charlie Brown	Not Started
Task 13	2024-04-14	2024-04-22	8	Charlie Brown	Not Started
Task 14	2024-04-25	2024-04-29	4	Alice Smith	Not Started
Task 15	2024-04-30	2024-05-10	10	Alice Smith	Completed
Task 16	2024-05-12	2024-05-15	3	Alice Smith	In Progress
Task 17	2024-05-16	2024-05-19	3	Diana Prince	Completed
Task 18	2024-05-20	2024-05-27	7	Bob Johnson	In Progress
Task 19	2024-05-30	2024-06-05	6	Bob Johnson	In Progress
Task 20	2024-06-06	2024-06-11	5	Charlie Brown	In Progress
Task 21	2024-06-13	2024-06-18	5	Charlie Brown	Completed
Task 22	2024-06-19	2024-06-29	10	Alice Smith	Not Started
Task 23	2024-07-01	2024-07-06	5	Bob Johnson	Completed
Task 24	2024-07-09	2024-07-14	5	Charlie Brown	In Progress
Task 25	2024-07-16	2024-07-19	3	Alice Smith	In Progress
Task 26	2024-07-20	2024-07-24	4	Charlie Brown	Not Started
